folder,dta,pos,variable,label,col_type
42m,f690.dta,1,bcsid,bcs70 serial number,chr
42m,f690.dta,2,c0002,birth number of child,dbl+lbl
42m,f690.dta,3,c0003,random control inclusion group,dbl+lbl
42m,f690.dta,4,c0004,multiple birth inclusion group,dbl+lbl
42m,f690.dta,5,c0005,postmature >42 wk gest inclusion group,dbl+lbl
42m,f690.dta,6,c0006,small for dates <c5 wt inclusion group,dbl+lbl
42m,f690.dta,7,c0007,sex of child,dbl+lbl
42m,f690.dta,8,c0009,any brothers or sisters,dbl+lbl
42m,f690.dta,9,c0010m,month of birth of 1st born sibling,dbl+lbl
42m,f690.dta,10,c0010y,year of birth of 1st born sibling,dbl+lbl
42m,f690.dta,11,c0011m,month of birth of 2nd born sibling,dbl+lbl
42m,f690.dta,12,c0011y,year of birth of 2nd born sibling,dbl+lbl
42m,f690.dta,13,c0012m,month of birth of 3rd born sibling,dbl+lbl
42m,f690.dta,14,c0012y,year of birth of 3rd born sibling,dbl+lbl
42m,f690.dta,15,c0013m,month of birth of 4th born sibling,dbl+lbl
42m,f690.dta,16,c0013y,year of birth of 4th born sibling,dbl+lbl
42m,f690.dta,17,c0014m,month of birth of 5th born sibling,dbl+lbl
42m,f690.dta,18,c0014y,year of birth of 5th born sibling,dbl+lbl
42m,f690.dta,19,c0015m,month of birth of 6th born sibling,dbl+lbl
42m,f690.dta,20,c0015y,year of birth of 6th born sibling,dbl+lbl
42m,f690.dta,21,c0016m,month of birth of 7th born sibling,dbl+lbl
42m,f690.dta,22,c0016y,year of birth of 7th born sibling,dbl+lbl
42m,f690.dta,23,c0017m,month of birth of 8th born sibling,dbl+lbl
42m,f690.dta,24,c0017y,year of birth of 8th born sibling,dbl+lbl
42m,f690.dta,25,c0018m,month of birth of 9th born sibling,dbl+lbl
42m,f690.dta,26,c0018y,year of birth of 9th born sibling,dbl+lbl
42m,f690.dta,27,c0019m,month of birth of 10th born sibling,dbl+lbl
42m,f690.dta,28,c0019y,year of birth of 10th born sibling,dbl+lbl
42m,f690.dta,29,c0020m,month of birth of 11th born sibling,dbl+lbl
42m,f690.dta,30,c0020y,year of birth of 11th born sibling,dbl+lbl
42m,f690.dta,31,c0021m,month of birth of 12th born sibling,dbl+lbl
42m,f690.dta,32,c0021y,year of birth of 12th born sibling,dbl+lbl
42m,f690.dta,33,c0022m,month of birth of 13th born sibling,dbl+lbl
42m,f690.dta,34,c0022y,year of birth of 13th born sibling,dbl+lbl
42m,f690.dta,35,c0023m,month of birth of 14th born sibling,dbl+lbl
42m,f690.dta,36,c0023y,year of birth of 14th born sibling,dbl+lbl
42m,f690.dta,37,c0024,family dwelling type,dbl+lbl
42m,f690.dta,38,c0025,which floor if not whole house,dbl+lbl
42m,f690.dta,39,c0026,do they have a garden,dbl+lbl
42m,f690.dta,40,c0027,if no facilities used,dbl+lbl
42m,f690.dta,41,c0028,sleeping arrangements,dbl+lbl
42m,f690.dta,42,c0029,cared for at home all day,dbl+lbl
42m,f690.dta,43,c0030,cared for in residential care,dbl+lbl
42m,f690.dta,44,c0031,cared for other,dbl+lbl
42m,f690.dta,45,c0032,cared for other full or part time,dbl+lbl
42m,f690.dta,46,c0034,social class,dbl+lbl
42m,f690.dta,47,c0035,is father self employed,dbl+lbl
42m,f690.dta,48,c0036,how self employed,dbl+lbl
42m,f690.dta,49,c0037,not self employed,dbl+lbl
42m,f690.dta,50,c0038,is father currently employed,dbl+lbl
42m,f690.dta,51,c0039,is mother employed,dbl+lbl
42m,f690.dta,52,c0040,number of cubes available,dbl+lbl
42m,f690.dta,53,c0041,number in tallest tower,dbl+lbl
42m,f690.dta,54,c0042,drawing of bridge,dbl+lbl
42m,f690.dta,55,c0043,drawing of gate,dbl+lbl
42m,f690.dta,56,c0044,response to destroyed structure,dbl+lbl
42m,f690.dta,57,c0045a,two blocks - how many are there,dbl+lbl
42m,f690.dta,58,c0045b,four blocks - how many are there,dbl+lbl
42m,f690.dta,59,c0045c,five blocks - how many are there,dbl+lbl
42m,f690.dta,60,c0046a,sequential block count - one,dbl+lbl
42m,f690.dta,61,c0046b,sequential block count - two,dbl+lbl
42m,f690.dta,62,c0046c,sequential block count - three,dbl+lbl
42m,f690.dta,63,c0046d,sequential block count - four,dbl+lbl
42m,f690.dta,64,c0046e,sequential block count - five,dbl+lbl
42m,f690.dta,65,c0047a,sequential block count - six,dbl+lbl
42m,f690.dta,66,c0047b,sequential block count - seven,dbl+lbl
42m,f690.dta,67,c0047c,sequential block count - eight,dbl+lbl
42m,f690.dta,68,c0047d,sequential block count - nine,dbl+lbl
42m,f690.dta,69,c0047e,sequential block count - ten,dbl+lbl
42m,f690.dta,70,c0048a,picture 1 - car,dbl+lbl
42m,f690.dta,71,c0048b,picture 2 - cup,dbl+lbl
42m,f690.dta,72,c0048c,picture 3 - apple,dbl+lbl
42m,f690.dta,73,c0048d,picture 4 - brush,dbl+lbl
42m,f690.dta,74,c0048e,picture 5 - fish,dbl+lbl
42m,f690.dta,75,c0048f,picture 6 - chair,dbl+lbl
42m,f690.dta,76,c0049a,response- which do we drink from,dbl+lbl
42m,f690.dta,77,c0049b,response- which do we ride in,dbl+lbl
42m,f690.dta,78,c0049c,response- which one swims in water,dbl+lbl
42m,f690.dta,79,c0049d,response- which do we eat,dbl+lbl
42m,f690.dta,80,c0049e,response- which do we do our hair with,dbl+lbl
42m,f690.dta,81,c0049f,response- which do we sit in,dbl+lbl
42m,f690.dta,82,c0050a,response- what is milk,dbl+lbl
42m,f690.dta,83,c0050b,response- what do we do when tired,dbl+lbl
42m,f690.dta,84,c0051a,response- what is your name,dbl+lbl
42m,f690.dta,85,c0051b,prompted response - (1st name) what?,dbl+lbl
42m,f690.dta,86,c0052,drawing lines,dbl+lbl
42m,f690.dta,87,c0053,drawing circles,dbl+lbl
42m,f690.dta,88,c0054,drawing cross,dbl+lbl
42m,f690.dta,89,c0055,drawing square,dbl+lbl
42m,f690.dta,90,c0056,drawing man,dbl+lbl
42m,f690.dta,91,c0057a,response- which is longer,dbl+lbl
42m,f690.dta,92,c0057b,response- which is longer- 180 turn,dbl+lbl
42m,f690.dta,93,c0057c,response- which is longer- 90 turn,dbl+lbl
42m,f690.dta,94,c0058,does child appear to understand 'longer',dbl+lbl
42m,f690.dta,95,c0059,paper folding,dbl+lbl
42m,f690.dta,96,c0060,parts of the body,dbl+lbl
42m,f690.dta,97,c0061,mother: how many not ringed can child do,dbl+lbl
42m,f690.dta,98,c0062a,balance on one foot - 1st attempt,dbl+lbl
42m,f690.dta,99,c0062b,balance on one foot - 2nd attempt,dbl+lbl
42m,f690.dta,100,c0063,refused - mother's reply,dbl+lbl
42m,f690.dta,101,c0064,mother's reply - can he jump,dbl+lbl
42m,f690.dta,102,c0065,jump - examiner's observation,dbl+lbl
42m,f690.dta,103,c0066,unable to take all tests,dbl+lbl
42m,f690.dta,104,c0067,was child able to do more,dbl+lbl
42m,f690.dta,105,c0068,how well did child co-operate,dbl+lbl
42m,f690.dta,106,c0069,how easily distracted,dbl+lbl
42m,f690.dta,107,c0070,was child shy etc.,dbl+lbl
42m,f690.dta,108,c0071a,immunisation against diptheria,dbl+lbl
42m,f690.dta,109,c0071b,immunisation against pertussis,dbl+lbl
42m,f690.dta,110,c0071c,immunisation against tetanus,dbl+lbl
42m,f690.dta,111,c0071d,immunisation against polio,dbl+lbl
42m,f690.dta,112,c0071e,immunisation against measles,dbl+lbl
42m,f690.dta,113,c0071f,immunisation against smallpox,dbl+lbl
42m,f690.dta,114,c0072,other immunisations,dbl+lbl
42m,f690.dta,115,c0073,how often does child get colds & coughs,dbl+lbl
42m,f690.dta,116,c0074a,has child had measles,dbl+lbl
42m,f690.dta,117,c0074b,has child had mumps,dbl+lbl
42m,f690.dta,118,c0074c,has child had pertussis,dbl+lbl
42m,f690.dta,119,c0074d,has child had chicken pox,dbl+lbl
42m,f690.dta,120,c0075,has child lost consciousness,dbl+lbl
42m,f690.dta,121,c0076,age at attack in months,dbl+lbl
42m,f690.dta,122,c0077,cause of 1st attack,dbl+lbl
